,"Session PRODUCTS
27 posters
","12 April 2021                                                                                                          Data products, information and knowledge



",,
4,82,"Minyoung Kim, Taeyoon Song, Wooram Kim and Jiyoon Lee",Observation of long-term changes in sea surface water temperature in the Korean Peninsula using JOISS data,Minyoung Kim
4,86,"Volodymyr Myroshnychenko, Alexander Barth, Charles Troupin and Simona Simoncelli",Black Sea Temperature and Salinity climatologies computed with DIVAnd tool,Volodymyr Myroshnychenko
4,87,"Vladimir Belokopytov, Eugeny Godin, Andrey Ingerov and Elena Zhuk",Development of Digital Atlas  “Physical Oceanography of the Black Sea – 2020”,Vladimir Belokopytov
4,92,"Joana Beja, Leen Vandepitte, Ruben Perez Perez, Gizem Poffyn, Dan Lear, Vasilis Gerovasileiou, Peter Herman, Bart Vanhoorne and Lennert Tyberghein","10 years of EMODnet Biology: past, present & future",Joana Beja
4,98,Jen Thomas,Open access datasets from the Antarctic Circumnavigation Expedition,Jen Thomas
4,108,"Erwann Quimbert, Mickael Treguer and Regis Kalaydjian",An interactive atlas to display information on Atlantic marine economic activities,Erwann Quimbert
4,109,"Olvido Tello, Dulce Mata, Alberto Cabezuelo, Gerardo Bruque and Luis M. Agudo",Contribution of EMODnet Bathymetry Project to Marine Strategy Framework Directive (MSFD),Olvido Tello
4,111,Ellen Vos and Eliza Etman,Searching for common ground at sea: Diving deeper into the process of delivering bathymetry data to different user groups,Ellen Vos
4,119,"Kanwal Shahzadi, Nadia Pinardi and Vladyslav Lyubartsev",A Non-linear Quality Control Procedure for Representativeness errors in Ocean Historical Datasets,Kanwal Shahzadi
4,122,"Guttorm Alendal, Jerry Blackford, Elisa Calignano, Stefan Carpentier, Dorothy Dankel, Marius Dewar, Bjarte Fagerås, Sarah E. Gasda, Kristian Gundersen, Raphael Heffron, Martha Lien, Anna Oleynik, Abdirahman Omar, Rajesh Pawar, Katherine Romanak, Darren Snee, Sigrid E. Schütz and Parisa Torabi","Assurance offshore monitoring, a cross-disciplinary approach",Guttorm Alendal
4,132,"Hela Mehrtens, Pina Springer, Carsten Schirnick, Claas Faber, Doris Maicher, Kristin Dombrowski and Sören Lorenz",Interoperability of institutional data management systems,Hela Mehrtens
4,144,"Jérôme Gourrion, Christine Coatanoan and Delphine Dobler",Operational results of Temperature and Salinity Quality Control at Coriolis for CMEMS based on improved MinMax approach,Jérôme Gourrion
,"Session SERVICES
26 posters
","13 April 2021                                                                                                             Data services and tools in ocean science


                                                                                                 ",,
,EasyChair No,Authors,Title,Presenter
1,5,"Antonio Novellino, Marco Alba, Luca Bonofiglio, Paolo Brotto, Maura Mazzarello, Giovanni Besio, Andrea Mazzino, Lorenzo Corgnati, Carlo Mantovani, Maristella Berta and Ennio Ottaviani",SINDBAD: an innovative med sea situation awareness tool,Antonio Novellino
1,6,"Evgenii Viazilov, Nikolay Mikhailov, Denis Melnikov and Vasiliy Smolyanitskiy",The new user interface for the development of hydrometeorological support based on integrated data,Evgenii Viazilov
1,9,"Patrick Gorringe, Philippa Bricher, Marco Alba, Luca Bonofiglio and Antonio Novellino",Southern Ocean data: A community effort to build a data ecosystem,Patrick Gorringe
1,14,"Romina Ihde, Janina Freund, Robert Hagen, Andreas Plüß and Frank Kösters","A pilot study to provide large-volume, user oriented marine spatial data of a federal institution online",Romina Ihde
1,16,"Örjan Bäck, Arnold Andreasson, Johannes Johansson, Magnus Wenzer and Lotta Fyrberg",Toolboxes for data management in marine environmental monitoring,Örjan Bäck
1,17,"Susanne Feistel, Ulrike Kleeberg, Joern Kohlus, Romina Ihde, Carsten Schirnick, Stefanie Schumacher and Susanne Tamm",Using metadata quality to filter datasets in data portals,Susanne Feistel
1,21,Reiner Schlitzer and Sebastian Mieruch,Ocean Data View goes Online,Reiner Schlitzer
1,41,"Pablo Otero, Gonzalo González-Nuevo and Elena Tel","An all-in-one web tool to apply CTD quality control, format data, and generate metadata under SeaDataNet criteria",Pablo Otero
1,48,Kristina Belova and Nikolai Mikhailov,Data integration complex within Russian segment of the Integrated Arctic Observation System (INTAROS),Kristina Belova
1,50,Chelsea Bradbury,The Marine Data Exchange: the challenges and opportunities of standardising survey data for enhanced visualisations and insights,Chelsea Bradbury
1,54,"Charles Troupin, Aida Alvera-Azcárate, Alexander Barth, Matjaž Ličer, Dimitry Van der Zande and Jean-Marie Beckers",Filling data gaps through interpolation: innovative analysis tools for oceanography,Charles Troupin
1,60,Damir Ivanković and Dalibor Jelavić,Web application and database for collecting and managing fisheries data,Damir Ivanković
1,62,"Paolo Diviacco, Antonio Nadali, Massimiliano Iurcev, Rodrigo Carbajales, Francesca Malfatti, Lorenzo Grio, Alessandro Busato, Alessandro Pavan and Massimiliano Nolic",Citizen science and crowdsourcing in the field of marine scientific research – the MaDCrow project,Paolo Diviacco
1,67,"Sebastien Mancini, Mark Rehbein, Dave Watts, Johnathan Kool, Andrew Carroll and Miles Nicholls",Improving connectivity with distributed partners in the Australian Ocean Data Network,Sebastien Mancini
1,70,Toru Suzuki,New task of Oceanographic Data Center for Data Publication and Citation,Toru Suzuki
1,72,"Peter Thijsse, Dick Schaap and Gergely Sipos",Pilot for accessing distributed marine data using the OneData concept,Peter Thijsse
1,76,"Nikita Knyazev, Dmitriy Elizarov, Olga Lavrova, Ksenia Nazirova and Evgeny Krayushkin",Web service for storing and processing sea water data measured in situ concurrently with satellite survey,Nikita Knyazev
1,84,Céline Vignot and Emilie Leblond,French fishery data in Harmonie,Céline Vignot
1,102,"Juan Luis Ruiz, Susana Diez, Xavier Rayo and Guillermo Garriga",UTM-CSIC Data Service Architecture: from acquisition on-board to final dissemination,Juan Luis Ruiz
1,114,"Glenn Judeau, Jérôme Detoc, Charlie Andre and Léo Bruvry-Lagadec",Scalable and high performance infrastructure for ocean data discovery and visualization,Glenn Judeau
1,115,"Jérôme Detoc, Sylvie Van Iseghem, Florian Nivert, Glenn Judeau and Catherine Borremans",MORSE for ensure the traceability of all Ifremer biological samples,Jérôme Detoc
1,124,"Miguel V. Charcos Llorens, Francoise Pearlman, Jay Pearlman, Juan Gabriel Fernández, Lorenzo Corgnati, Milla Johansson, Lauri Laakso, Taavi Liblik, Julien Mader, Carlo Mantovani, Simone Marini, Marc Picheral, Emma Reyes, Ana Rubio, Inmaculada Ruiz, Jukka Seppala, Lars Stemmann, Timo Tamminen and Joaquín Tintoré",Data To Product Thematic Services Integration into e-JERICO,Miguel V. Charcos Llorens
1,134,"Charles Troupin, Julie Abergas-Arteza, Alexander Barth, Frederic Huynh, Jukka Seppälä, Seppo Kaitala, Aleksi Kallio, Cecile Nys, Francesco Osimanti, Peter Thijsse, Gilbert Maudire and Boris Dintrans","PHIDIAS: boosting the use of cloud services to benefit marine data management, services and processing",Charles Troupin
1,137,"Paolo Oliveri, Simona Simoncelli, Pierluigi di Pietro and Gelsomina Mattia",SOURCE software’s reprocessing and merging of different sea temperature and salinity time series data collections from SeaDataCloud and CMEMS,Paolo Oliveri
1,142,"Frode Monsen, Tor Olaussen, Hanne Sagen, Torill Hamre, Florian Geyer, Kjetil Lygre and Roberta Pirazzini",Mapping Arctic Observing Systems and In Situ Data Collections,Frode Monsen
1,146,"Torill Hamre, Bente Lilja Bye and Markus Fiebig",The NextGEOSS Cold Region pilot: Improved discoverability and access to polar data,Torill Hamre
,"Session TECH
21 posters
","14 April 2021 (morning)                                                                                                           Technical developments for marine information and data management


                                                                                                 ",,
,EasyChair No,Authors,Title,Presenter
2,7,Andrej Abramic and Ricardo Haroun,Maritime Spatial Planning INSPIRE data model,Andrej Abramic
2,20,"Adam Leadbetter, Andrew Conway, Tara Keena and Will Meaney",Cataloguing Ocean Data at Web Scale,Adam Leadbetter
2,24,"Eugeny Godin, Alexander Vorontsov, Andrey Ingerov, Elena Isaeva and Tatyana Kasyanenko",Marine Hydrophysical Institute and All-Russian Research Institute  of Hydrometeorological Information – World Data Center: Comparison and Development of Black Sea Databases,Eugeny Godin
2,28,"Clémence Rabévolo, Steven Piel and Armelle Rouyer",Data interoperability in the French Information System for Marine Environment (SIMM),Clémence Rabévolo
2,32,"Elizabeth Tray, Adam Leadbetter, Will Meaney, Andrew Conway, Caoimhín Kelly, Elvira de Eyto, Siobhan Moran, Niall Ó Maoiléidigh and Deirdre Brophy",An open-source database model and collections management system for fish scale and otolith archives,Elizabeth Tray
2,45,"Linda Baldewein, Dietmar Sauer, Ulrike Kleeberg, Housam Dibeh and Lars Möller",Automatically generating ISO 19115-1:2014 metadata from relational databases,Linda Baldewein
2,51,"Mickael Treguer, Catherine Satra - Le Bris, Julien Meillon and Erwann Quimbert","SEXTANT, A MARINE SPATIAL DATA INFRASTRUCTURE: IMPLEMENTATION OF OGC PROTOCOLS FOR THE DISSEMINATION OF MARINE DATA",Mickael Treguer
2,53,"Nicolas de Ville de Goyet, Michael Fettweis and Thomas Vandenberghe",On using a Sensor Observation Service as an INSPIRE-compliant download service,Nicolas de Ville de Goyet
2,56,"Mohammad Shafi Arif, Peter Schade and Frank Kösters",A Metadata Hierarchy for Enhanced Management of Hydro-Numerical Simulation Data,Mohammad Shafi Arif
2,63,"Paolo Diviacco, Alberto Viola and Mihai Burca","Improving data discoverability for the Antarctic Seismic Data Library System (SDLS) through SDN, ISO19115-3 and INSPIRE compliancy.",Paolo Diviacco
2,75,"Daniel Damaske, Janine Felden, Frank Oliver Glöckner and Gauvain Wiemer",Prospective FAIR bathymetry data archiving in PANGAEA - Data Publisher for Earth & Environmental Science,Daniel Damaske
2,77,"Thomas Vandenberghe, Susana Diez Tagarro, Dick Schaap, Guillaume Clodic, Juan Luis Ruiz, Hong Minh Le, Yvan Stojanov, Christian Autermann and Simon Jirka",Whole-picture data management in Eurofleets+,Thomas Vandenberghe
2,79,Jiyoon Lee,Application of metadata standard for data management in marine geological field,Jiyoon Lee
2,85,"Aileen Kennedy, David Currie, Enda Howley and Jim Duggan",An enabling semantic pipeline for fisheries observation data to improve sustainable management of fisheries resources,Aileen Kennedy
2,88,"Krzysztof Gierłowski, Michał Hoeft and Marcin Wichorowski",An information sharing system for off-shore marine research,Krzysztof Gierłowski
2,101,"Veronique Creach, Luis Felipe Artigas, Alain Lefebvre, Fabien Lombard Lombard, Markus Lindh, Klas Ove Möller, Lennert Schepers, Jukka Seppälä and Melilotus Thyssen",Integration of Biology Sensor Outputs in the European Marine Observation and Data Network,Veronique Creach
2,104,"Michał Hoeft, Krzysztof Gierłowski and Marcin Wichorowski",Remote command and control capabilities for data acquisition systems provided by delay-tolerant network mechanisms,Michał Hoeft
2,112,"Katrina Exter, Cedric Decruw, Georgios Kotoulas, Dimitra Mavraki, Matthias Obst, Christina Pavloudi, Marc Portier and Lennert Tyberghein",FAIR Data Management for Genomics Observatories,Katrina Exter
2,118,David Currie and Jose Rodriguez,Quantifying improvements in quality assurance in European fisheries biological data collection,David Currie
2,127,"Inmaculada Ruiz, Juan Gabriel Fernández and Joaquín Tintoré",How certification process is helping SOCIB to improve Data Quality Management,Inmaculada Ruiz
2,141,"Angelos Lykiardopoulos, Themis Zamani, Michail Iordanis, Kostas Kagkelidis, Kostas Koumantaros, Kostantinos Kalkavouras and Athanasia Iona","SDC Monitoring infrastructure near real time status updates, rich alerts, trends and insights.",Angelos Lykiardopoulos
,"Session INFRA
9 posters
","14 April 2021 (afternoon)                                                                                                    Marine environmental infrastructures for observation data


                                                                                                
",,
,EasyChair No,Authors,Title,Presenter
3,18,Helge Sagen,The national research infrastructure NMDC (Norwegian Marine Data Centre) is providing seamless access to marine data.,Helge Sagen
3,65,"Sylvie Fiat, Jérôme Aucan and Régis Hocdé","ReefTEMPS, FAIRs access to Reef ecosystem environmental measurements",Sylvie Fiat
3,78,"Louise Darroch, Juan Ward, Alexander Tate, Justin Buck and Alexandra Kokkinaki",Harmonised ocean monitoring from the UK large research vessels (I/Ocean),Louise Darroch
3,89,"Vladimir Solovyev, Tamara Shiganova and Alexander Ostrovskii",Zooplankton diel vertical migration database,Vladimir Solovyev
3,105,"Cooper Van Vranken, Berthe Vastenhoud and Patrick Gorringe",Fishing gear as a data collection platform:  Opportunities to fill gaps in ocean observation networks,Cooper Van Vranken
3,110,"Marcin Wichorowski, Joanna Stoń-Egiert, Krzysztof Rutkowski, Włodzimierz Krzymiński, Michał Piotrowski and Michał Wójcik",Recent developments in oceanographic data and information system for Polish NODC initiative,Marcin Wichorowski
3,120,"Juan Gabriel Fernández, Paz Rotllan Garcia, Miguel V. Charcos Llorens, Biel Frontera, Xisco Notario, Inmaculada Ruiz, Miquel Angel Rujula, Miquel Gomila, Sonia Gómara and Joaquin Tintore",SOCIB Data Infrastructure,Juan Gabriel Fernández
3,125,"Miguel V. Charcos Llorens, Jay Pearlman, Francoise Pearlman, Juan Gabriel Fernández, Peter Thijsse, Patrick Gorringe and Joaquin Tintore",The JERICO e-Infrastructure,Miguel V. Charcos Llorens
3,128,"Steve Jones, Benjamin Pfeil, Maren K. Karlsen and Alex Vermeulen",Ensuring data reproducibility from sensor to publication for ocean observations,Steve Jones
